subject,TR,experiment,Model,Manufacturer
VUIISXNAT04_S17179,0.607,VUIISXNAT04_E231814,Prisma,Siemens
VUIISXNAT04_S17179,0.607,VUIISXNAT04_E232538,Prisma,Siemens
VUIISXNAT04_S17179,3.0,VUIISXNAT04_E231504,Signa_HDxt,GE
VUIISXNAT04_S17179,0.607,VUIISXNAT04_E231697,Prisma,Siemens
VUIISXNAT04_S17310,3.0,VUIISXNAT04_E232485,Verio,Siemens
VUIISXNAT04_S17659,3.0,VUIISXNAT04_E232395,Prisma,Siemens
VUIISXNAT04_S17659,3.0,VUIISXNAT04_E232451,Prisma,Siemens
VUIISXNAT04_S17234,3.0,VUIISXNAT04_E232346,Verio,Siemens
VUIISXNAT04_S17234,3.0,VUIISXNAT04_E231753,Verio,Siemens
VUIISXNAT04_S17037,3.0,VUIISXNAT04_E231073,GEMINI,Philips
VUIISXNAT04_S17037,3.0,VUIISXNAT04_E231191,GEMINI,Philips
VUIISXNAT04_S17037,3.0,VUIISXNAT04_E230947,GEMINI,Philips
VUIISXNAT04_S17037,3.0,VUIISXNAT04_E231375,GEMINI,Philips
VUIISXNAT04_S17037,3.0,VUIISXNAT04_E231758,Biograph_mMR,Siemens
VUIISXNAT04_S17676,3.0,VUIISXNAT04_E232509,DISCOVERY_MR750,GE
